,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
488,The Adventures of Larry the Lemur,6.99,2.0,,52.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,52.0
489,Frog 14 -  Frog in Winter,9.99,4.0,,,"1,0/5 (1 review)",Engels,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",1.0,1.0,"0.5, 1.5, 3.5",1.8333333333333333,
490,Snow,4.99,4.0,40.0,40.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
491,"Mouse Math -  Count Off, Squeak Scouts!",6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
492,Mouse Math -  Albert Starts School,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
493,Maine ABC,11.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
494,Ladybird Stories for 3 Year Olds,4.99,2.0,32.0,,"5,0/5 (1 review)",Engels,"0-12 maanden, vanaf 3 jaar",5.0,1.0,"0.5, 3.5",2.0,32.0
495,L'Hippopotame de Dieu,4.33,,,,no reviews,Frans,vanaf 3 jaar,,,3.5,3.5,
496,Even Superheroes Use the Potty,6.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
497,The Very Quiet Cricket,4.78,4.0,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
498,La casa de las letras,4.99,,,,no reviews,Spaans,0-12 maanden,,,0.5,0.5,
499,My Reading Neighborhood: First-Grade Sight Word Stories -  A Party with Joe,5.99,3.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
500,Moi et le plus gentil papa du monde,5.99,2.0,,,no reviews,Frans,0-12 maanden,,,0.5,0.5,
501,Gus's Garage,9.81,3.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
502,In The Night Garden - In the Night Garden: Bedtime Stories from the Night Garden,8.49,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
503,BP Animation -  Peter Rabbit Animation: Lily's Party Time,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
504,Liselotte apprend a nager,4.99,2.0,,,no reviews,Frans,0-12 maanden,,,0.5,0.5,
505,A Lullaby of Summer Things,6.99,2.0,40.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,40.0
506,CGTV Reader - Curious George Plays Mini Golf,4.99,3.0,,24.0,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,24.0
507,Fox in Socks,4.34,5.0,,,"5,0/5 (1 review)",Engels,vanaf 3 jaar,5.0,1.0,3.5,3.5,
508,Curious George - Curious George's Day at the Farm (Tabbed Lift-the-Flap),6.99,3.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
509,Spinderella,7.55,3.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
510,Peppa Pig - Peppa Pig: Peppa's First Glasses,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
511,Itchy Twitchy Ritchie From Wichita City,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
512,Britta Teckentrup -  Where's the Baby?,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
513,Hermelin,6.99,3.0,32.0,32.0,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,32.0
514,Le mystère des étoiles d'or,2.94,,,,no reviews,Frans,"vanaf 2 jaar, vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"2.5, 3.5, 4.5, 5.5, 6.5",4.5,
515,Sam Sorts,10.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
516,Worries Go Away!,2.49,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
517,Dancing Feet!,6.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
518,Haunted Houses Handbook,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
519,Egon,7.49,2.0,,38.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,38.0
520,Pauline Teddybär,0.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
521,The Nature Girls,9.99,2.0,32.0,,no reviews,Engels,"vanaf 1 jaar, vanaf 3 jaar",,,"1.5, 3.5",2.5,32.0
522,Hands Can,5.99,3.0,24.0,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
523,Little Blossom Stories -  The Case of the Lost Pig,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
524,Raby y Alex. Los Mejores Amigos,1.99,2.0,,,no reviews,Spaans,vanaf 3 jaar,,,3.5,3.5,
525,Math Is Fun! -  Tally Cat Keeps Track,4.9,3.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
526,Swimmy,5.99,3.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
527,Hide & Seek,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
528,"You See, I See - You See, I See: In the City",6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
529,The First Day of Winter,6.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
530,Roald Dahl Words,7.99,4.0,16.0,48.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,16.0
531,The Little Book of Big Fears,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
532,Do Dierte bie ju groote Buurensteede an 'n Diek,6.49,2.0,,54.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,54.0
533,Beach Baby,7.99,5.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
534,Why I love my Grandma,13.58,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
535,The Adventures of Billy and Penny,10.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
536,Llama Llama - Llama Llama Hoppity-Hop,5.99,2.0,14.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,14.0
537,Road Work Ahead,7.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
538,An African Alphabet Read-Along,8.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
539,Time-Out for Sophie,6.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
540,"Helen Hyena, The Sound Changer",3.4,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
541,Topsy and Tim: First Sleepover,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
542,Tummy Tom -  The green collection,2.99,2.0,,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
543,Liselotte hat geburtstag,4.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
544,Snakes on a Train,9.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
545,Forest Baby Read-Along,8.99,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
546,Treasure,8.99,3.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
547,"""Hab-Dich-lieb"" ein Stern erwacht",8.49,2.0,,62.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,62.0
548,On Market Street,12.29,2.0,40.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,40.0
549,Teddys Abenteuerreise ins Regenbogenland,4.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
550,Skippyjon Jones - Skippyjon Jones Up and Down,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
551,CGTV Reader -  Curious George Roller Coaster,4.99,3.0,,24.0,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,24.0
552,Basic Concepts -  The Not-So-Right Day,4.9,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
553,"Red Light, Green Light",9.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
554,Curious George -  Curious George's ABCs,6.99,3.0,12.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,12.0
555,Marie-France macht Ferien,1.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
556,Is This Panama?,8.99,2.0,,40.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
557,Curious George -  Curious George at the Baseball Game,4.99,4.0,24.0,24.0,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,24.0
558,The Crayons' Book of Numbers,5.99,2.0,18.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,18.0
559,Apprends avec P'tit Tom 1 -  Apprends avec P'tit Tom,5.49,2.0,,,no reviews,Frans,0-12 maanden,,,0.5,0.5,
560,Der verzauberte Wald,2.99,,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
561,Piggy Paints,4.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
562,Where Do...Series - Where Do Steam Trains Sleep at Night?,6.99,2.0,26.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,26.0
563,Topsy and Tim: Play Football,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
564,Goodnight - Goodnight Digger,6.49,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
565,Five Silly Ghosts,4.99,3.0,12.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,12.0
566,ABC Passover Hunt,7.85,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
567,Big and Little Are Best Friends,14.73,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
568,1-2-3 Count Monkeys with Me!,17.68,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
569,Alphabet Alley,4.99,2.0,44.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,44.0
570,Halloween Good Night,12.29,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
571,Curious George - Curious George's First Words at the Circus (Read-Aloud),2.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
572,Little Golden Book - Baby Animals,5.34,4.0,,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"3.5, 4.5, 5.5, 6.5",5.0,
573,Sassy - Big! Little!,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
574,The Opposite Zoo,4.99,2.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
575,First Times Read-Along,8.99,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
576,Benjamin Bear -  Benjamin Bear Says Thank You,7.99,3.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
577,It's Just So...Little!,8.99,3.0,45.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,45.0
578,Hap-Pea All Year,8.94,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
579,Such a Little Mouse,13.35,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
580,Truck Driver Tom,7.99,2.0,,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
581,Almost Anything,6.49,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
582,I Get Dressed,8.99,,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
583,Basic Concepts -  Colors All Around,4.9,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
584,"Geschichten, die sich Kühe und Vögel erzählen",9.49,2.0,,136.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,136.0
585,Zelza Zero,2.94,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
586,A Paddling of Ducks,5.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
587,Caillou Waits for Santa,8.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
588,Bob Books Rhyming Words,8.99,4.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
589,Alina und die Waldpiraten,7.99,2.0,,66.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,66.0
590,A Musician's Recipes,4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
591,The Tale of Two Bad Mice (Illustrated),0.99,5.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
592,The Girl Who Heard Colors,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
593,Disney Picture Book (ebook) -  Mickey Mouse Clubhouse: Mickey's Space Adventure,3.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
594,Five Little Bunnies,5.99,2.0,16.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,16.0
595,The Hair Adventures of Princess Lindsey Sidney,3.61,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
596,The Panama - Library by Janosch 1 - The Trip to Panama,5.99,2.0,,48.0,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,48.0
597,Allah Gave Me Two Ears to Hear,2.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
598,NIR! Leveled Readers 2 - Now I'm Reading! Level 2: Rhyme Time,0.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
599,Skippyjon Jones - Skippyjon Jones 1-2-3,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
600,Shape Shift,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
601,A B See,10.05,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
602,Mr. Men and Little Miss - Mr. Men: Road Trip!,4.99,,,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"3.5, 4.5, 5.5, 6.5",5.0,
603,Late for School!,9.81,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
604,Checkers and Dot 3 - Checkers and Dot on the Farm,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
605,Meg in the Jungle,6.49,2.0,,32.0,no reviews,Engels,"0-12 maanden, vanaf 2 jaar",,,"0.5, 2.5",1.5,32.0
606,The Royal Tea Party,12.99,3.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
607,Whose Bum?,7.99,3.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
608,Der kleine König macht Ordnung,4.49,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
609,"Snow Rabbit, Spring Rabbit: A Book of Changing Seasons",4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
610,"Hello, Baby Animals",6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
611,Swirl by Swirl,4.99,3.0,30.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,30.0
612,When I Grow Up,5.99,3.0,32.0,32.0,no reviews,Engels,"vanaf 1 jaar, vanaf 3 jaar",,,"1.5, 3.5",2.5,32.0
613,"Bommel, was nun?",5.99,,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
614,The Gentle Pine's Purpose,8.92,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
615,Topsy and Tim - Topsy and Tim: Go to the Dentist,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
616,"Duck & Goose - Duck & Goose, 1, 2, 3",5.99,2.0,22.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,22.0
617,NIR! Leveled Readers - Now I'm Reading! Pre-Reader: More Word Play,0.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
618,Geschichten mit märchenhaften Illustrationen 10 -  Frau Holle,1.99,,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
619,Beginner Books(R) -  Fox in Socks,6.99,5.0,72.0,64.0,"5,0/5 (1 review)",Engels,vanaf 3 jaar,5.0,1.0,3.5,3.5,72.0
620,Canada Concepts -  A Day in Canada,5.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
621,A Horse Named Jack,16.69,2.0,16.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,16.0
622,Mighty Dads,10.99,2.0,,,no reviews,Engels,"vanaf 2 jaar, vanaf 3 jaar",,,"2.5, 3.5",3.0,
623,Rocket - R Is for Rocket: An ABC Book,7.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
624,Topsy and Tim: Move House,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
625,A is for Alice: An Alphabet Book,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
626,Chickies - Bathtime for Chickies,6.45,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
627,"Alligator, Bear, Crab",7.99,3.0,24.0,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,24.0
628,Funumbers,3.99,2.0,,24.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
629,The Bravest of the Brave,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
630,Barnicle and Husk: The Beginning,4.39,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
631,What Do They Do with All That Poo?,12.29,3.0,40.0,40.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
632,My Travelin' Eye,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
633,Flying Lemurs,7.99,3.0,32.0,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
634,First Favourite Tales - Cinderella: Ladybird First Favourite Tales,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
635,Peek and Play Rhymes 4 -  Twinkle Twinkle Little Star,3.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
636,Little Golden Book - The Fire Engine Book,4.99,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
637,Mr. Men and Little Miss -  Little Miss Trouble,4.99,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
638,Disney Storybook with Audio (eBook) -  Mickey and the Roadster Racers: Race for the Rigatoni Ribbon!,4.99,2.0,,24.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
639,The Little Engine That Could -  The Little Engine That Could,7.99,4.0,48.0,,"5,0/5 (1 review)",Engels,vanaf 3 jaar,5.0,1.0,3.5,3.5,48.0
640,All Aboard!,7.99,3.0,10.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,10.0
641,Peppa Pig -  Peppa Pig: Dentist Trip,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
642,Little Golden Book - The Noisy Garage,5.34,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
643,The Bad Mrs. Ginger Illustrated by Honor Appleton,6.99,3.0,54.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,54.0
644,Everything Is Mama,9.99,2.0,32.0,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar",,,"1.5, 2.5",2.0,32.0
645,Ladybird Classics: The Wind in the Willows,5.49,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
646,Chunky Baby - Baby Hide and Seek!,3.49,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
647,Anne und die Fantasie,3.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
648,Rita and the Firefighters,13.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
649,Ladybird Stories for 2 Year Olds,4.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
650,"Papá, eres... ¡genial!",5.99,,,,no reviews,Spaans,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"3.5, 4.5, 5.5, 6.5",5.0,
651,Fips und Jucki,3.49,2.0,,54.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,54.0
652,"Little People, BIG DREAMS -  Harriet Tubman",9.99,2.0,24.0,,no reviews,Duits,vanaf 2 jaar,,,2.5,2.5,24.0
653,Late for School!,11.78,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
654,"Disney Storybook with Audio (eBook) -  Disney It's A Small World: Hello, World!",4.99,2.0,14.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,14.0
655,Puppies Need Pockets,8.99,2.0,36.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,36.0
656,Der honiggelbe Bär,5.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
657,STRUBBEL - das Meerschweinchen,2.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
658,Here Come the Helpers,10.05,2.0,14.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,14.0
659,My Hand,13.99,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
660,Vamos a la Cama,1.99,2.0,,,no reviews,Spaans,vanaf 3 jaar,,,3.5,3.5,
661,Aquarium,13.07,3.0,40.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,40.0
662,I Love My Teacher,3.99,3.0,24.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
663,It's Only the Wind,8.99,3.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
664,Where's the Potty on This Ark?,7.85,3.0,,24.0,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,24.0
665,Das Lachen,7.49,2.0,,62.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,62.0
666,Zauberfläschchen,10.99,2.0,,72.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,72.0
667,Pugs in a Bug,7.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
668,The Great Balloon Adventure,2.99,2.0,,36.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,36.0
669,My Leaf Book,6.99,2.0,,34.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,34.0
670,WO TUT ES WEH?,2.49,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
671,"Bobo Siebenschläfer: Neue Abenteuer zum Vorlesen ab 3 Jahre 1 - Fröhliche Weihnachten, Bobo Siebenschläfer!",4.99,3.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
672,Yellow Time,12.29,2.0,40.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,40.0
673,Just One More,7.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
674,Little Boo,4.99,3.0,34.0,34.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,34.0
675,One House Read-Along,8.99,4.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
676,The Pirate's Bed,11.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
677,"SKYLER AND FRIENDS 1 -  WIENER DOG, WIENER DOG, HOW'D YOU GET SO LONG?",3.99,2.0,34.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,34.0
678,Hooray for Hoppy,7.99,2.0,28.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,28.0
679,Little Bitty Friends,7.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
680,"Der kleine König, Gute-Nacht-Geschichten",3.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
681,My Service Dog,2.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
682,Daddy and Me,4.35,4.0,24.0,24.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
683,Arthur Zar's Amazing Zebras,9.81,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
684,"Goodnight, Goodnight Construction Site",7.62,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
685,Ten Orange Pumpkins,7.99,2.0,40.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
686,The 12 Days of - The 12 Days of Valentine's,4.99,2.0,,24.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
687,Tummy Tom -  The orange collection,2.99,2.0,,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
688,The Golden Mother Goose,7.66,2.0,72.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,72.0
689,My First Christmas,5.99,2.0,14.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,14.0
690,Llama Llama - Llama Llama Wakey-Wake,5.99,2.0,14.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,14.0
691,Hermie,5.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
692,"Mother Goose's Nursery Rhymes and Fairy Tales - with Six Coloured Plates, and Four Hundred and Twenty-Four Wood-Cuts by John Gilbert, John Tenniel, Ha",6.99,3.0,,500.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,500.0
693,Bedtime 123 Read-Along,8.99,3.0,26.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,26.0
694,Little Blossom Stories -  The Case of the Lost Frog,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
695,"The Adventures of Ant, Dog and Elephant",3.99,2.0,,28.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,28.0
696,Jorris' Abenteuer in der Tiefsee,0.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
697,Little Golden Book - I'm a T. Rex!,5.34,2.0,24.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
698,"I Love You, Nose! I Love You, Toes!",12.29,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
699,One Red Button,7.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
700,The Number Story 1 DIE ZAHLENGESCHICHTE,5.44,3.0,,32.0,no reviews,Duits,vanaf 1 jaar,,,1.5,1.5,32.0
701,Clubhouse - Caillou Goes Apple Picking,4.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
702,Gute-Nacht-Reime für Kleine,4.99,2.0,24.0,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,24.0
703,Our Dog Knows Words,3.99,2.0,,24.0,no reviews,Engels,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,24.0
704,Timmy and the Money Tree,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
705,There's a Walrus in My Bed!,15.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
706,Der kleine König ist noch wach / wünscht sich was,2.99,4.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
