,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
1024,Beach Baby Read-Along,8.99,3.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
1025,Liesl learns to swim,4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
1026,Uncle Oscar's Chairs,6.99,2.0,64.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,64.0
1027,Space Tortoise,7.99,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
1028,The Tale of Two Bad Mice,0.99,5.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1029,The Shiny Penny,8.99,3.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
1030,Prinzessin Lillifee,5.99,3.0,32.0,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,32.0
1031,Pauline Teddybär und Freunde,4.49,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
1032,Ferry Tail,12.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
1033,The Big Storm,8.94,2.0,34.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,34.0
1034,Pictureback(R) - The Alphabet Book,3.99,3.0,36.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,36.0
1035,Little Dog Lost,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1036,"Steam Train, Dream Train Colors",4.35,2.0,20.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,20.0
1037,Canada ABC,6.99,2.0,30.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,30.0
1038,Jan-Peter,3.49,,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
1039,Math Is Fun! -  Tally Cat Keeps Track,6.87,4.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
1040,Little Princess eBooks 19 -  I Want a Bedtime Story!,15.99,3.0,32.0,32.0,no reviews,Engels,"vanaf 2 jaar, vanaf 3 jaar",,,"2.5, 3.5",3.0,32.0
